;country;crop_name;crop_id;uncertainty_indicator;odds_ratio_days_heatwave;odds_ratio_days_coldwave;odds_ratio_days_drought;odds_ratio_days_flood;odds_ratio_exp_area_heatwaves;odds_ratio_exp_area_coldwaves;odds_ratio_exp_area_droughts;odds_ratio_exp_area_floods;max_likelihood_pseudo_R2;Wald_Test_p_val_days_heatwave;Wald_Test_p_val_days_coldwave;Wald_Test_p_val_days_drought;Wald_Test_p_val_days_flood;Wald_Test_p_val_exp_area_heatwaves;Wald_Test_p_val_exp_area_coldwaves;Wald_Test_p_val_exp_area_droughts;Wald_Test_p_val_exp_area_floods
272;ES;Aromatic & medicinal plants;I5000;0.238750793696091;1.0091251849856;0.906815257671805;0.989401872867612;1.40519536443878;1.01767464640473;7.35270094453064;1.77956395578509;0.450113116757186;0.326806278289784;0.538530134288213;0.154192872020019;0.214806151588947;0.00938570886095015;0.961852212405909;0.109803802463521;0.296123829477224;0.0380849250880793
252;SK;Aromatic & medicinal plants;I5000;0.239;0.966636036019559;0.992572929861971;1.0025579921475;0.970923961672851;2.56695987055187;0.942194137992269;0.82805753508561;0.905585735053569;0.323943917067097;0.0914051144422793;0.682734082142708;0.791974951581467;0.471825424543042;0.0110415468136735;0.87087297932277;0.701476878304278;0.687609800453432
171;IT;Potatoes;R1000;0.894081718191992;0.968487501354102;1.0642205653301;1.06009556396369;1.09671182758802;1.3347311208159;0.317450075498038;0.0973479458022136;0.766087636059322;0.322304340796248;0.16028763089688;0.200022556623649;0.0362817291602437;0.230387056537757;0.57000185518934;0.215973370386342;0.0647575065608689;0.473404630410271
43;BG;Green plants fodder;G0000;0.087;0.994478502449067;1.0130297932003;1.02625405949928;1.02516446099982;1.17277207669819;0.660983158048699;0.373012389766969;0.747255119290776;0.321179510004479;0.871059279263397;0.721221209795493;0.0513304999731167;0.281290724668218;0.793882898657371;0.559289263396649;0.140836789575676;0.359343323775828
10;AT;Sunflower seed;I1120;0.948835839410868;1.05147537400002;0.999664374554634;1.00558316656739;0.897929947355078;0.416108140280324;0.899292153543753;1.14658895192234;1.40941069637122;0.319639055622682;0.0866776958625503;0.985427335140303;0.650570691393594;0.625521065269645;0.114600868383211;0.79137857540906;0.828696144187395;0.387288301192264
279;SE;Barley;C1300;0.463793535667362;0.951297358520616;1.02275494028222;1.02174376753541;0.145528708991249;2.35526542427355;0.55416220816548;0.68826171650702;NA;0.318268906227386;0.067805499046018;0.0608062275515121;0.206593005149927;0.293780935206158;0.0799932298756785;0.0603540177077762;0.659694688187153;1
119;FR;Fibre flax;I2100;0.28259831642401;0.822296526942016;0.998910632733578;1.00010937001926;1.45113144923599;21.0926543082016;1.03040330099436;1.17929887333868;0.405951396082184;0.3154687676355;0.0590893992248516;0.975538138443838;0.986486240245037;0.0179632401604301;0.0438118299061346;0.969987897676266;0.736746832105267;0.074398690187992
83;DK;Rye;C1200;0.239;0.993988331378095;1.00802849426533;1.0382014097405;NA;0.904743835933593;0.950675489601568;0.337735091295639;NA;0.315161566010513;0.78173931248214;0.393265536822906;0.0309165347213937;1;NA;0.798004201417597;0.859214741483831;1
71;CZ;Sugar beet;R2000;0.565;0.98507185211533;0.994975711837756;0.997900455396055;0.967579632173771;2.01831629620726;1.03035675276087;1.13849992933912;1.36723748198714;0.312887632608283;0.503056005282851;0.743764632120116;0.685986227645002;0.0146076543660605;0.106045046831098;0.928127718206134;0.637412358380293;0.140120628174986
241;SK;Maize;C1500;0.239;0.985243596940404;1.00190700957517;1.01083206627799;1.08285159278568;1.5819723012801;0.816652086384742;0.650631851476836;0.787118381904084;0.310929217593132;0.455364746110221;0.91748667748733;0.27499554322141;0.0607287026511881;0.202242024479941;0.584751432527177;0.389367025432888;0.339351089102832
54;HR;Sugar beet;R2000;0.261;0.988568427082424;1.00299041947131;0.999499561948274;1.00145811836411;1.0611368039859;0.889457736501243;1.3991778530579;1.10576967409117;0.30947960768541;0.181105339808337;0.718262937328241;0.895096049082485;0.971935352898028;0.738925642168595;0.516802067289426;0.124365338099062;0.500038496861853
62;HR;Leguminous plants green;G2000;0.239;0.988568427082424;1.00299041947131;0.999499561948274;1.00145811836411;1.0611368039859;0.889457736501243;1.3991778530579;1.10576967409117;0.30947960768541;0.181105339808337;0.718262937328241;0.895096049082485;0.971935352898028;0.738925642168595;0.516802067289426;0.124365338099062;0.500038496861853
