"","year","country","heatwave","coldwave","drought","flood","firerisk"
"432",2011,"FR",0,0,816.81525,2,0
"433",2012,"FR",18,113,0,0,0
"434",2013,"FR",0,0,0,6,0
"435",2014,"FR",0,0,73.6156,19,0
"436",2015,"FR",172,0,136.799,0,174.98069
"437",2016,"FR",0,0,0,0,90.58472
"438",2017,"FR",128,0,168.5123,0,53.7193
"439",2018,"FR",130,0,314.83577,0,559.18703
"440",2019,"FR",193,0,321.01839,0,393.55664
"441",2020,"FR",19,0,935.7603,4,322.44091
"442",1981,"HR",0,26,0,0,0
"443",1982,"HR",0,0,0,0,0
"444",1983,"HR",0,0,0,0,0
"445",1984,"HR",0,0,0,0,0
"446",1985,"HR",0,38,0,0,0
"447",1986,"HR",0,0,0,0,0
"448",1987,"HR",0,0,0,0,0
"449",1988,"HR",0,0,0,0,0
"450",1989,"HR",0,0,0,0,0
"451",1990,"HR",0,0,0,0,0
"452",1991,"HR",0,25,0,0,0
"453",1992,"HR",0,0,68.33819,0,0
"454",1993,"HR",0,28,0,0,0
"455",1994,"HR",0,0,0,0,0
"456",1995,"HR",0,0,0,0,0
"457",1996,"HR",0,0,0,0,0
"458",1997,"HR",0,0,0,0,0
"459",1998,"HR",0,0,0,0,0
"460",1999,"HR",0,0,0,0,0
"461",2000,"HR",0,0,0,3,0
"462",2001,"HR",0,0,0,0,0
"463",2002,"HR",0,0,0,0,0
"464",2003,"HR",36,0,99.70874,0,57.51264
"465",2004,"HR",0,0,0,0,0
"466",2005,"HR",0,0,0,0,0
"467",2006,"HR",0,0,0,4,0
"468",2007,"HR",0,0,0,0,0
"469",2008,"HR",0,0,0,0,0
"470",2009,"HR",0,0,0,0,0
"471",2010,"HR",0,0,0,6,0
"472",2011,"HR",0,0,71.16828,0,0
"473",2012,"HR",29,0,75.45307,0,0
"474",2013,"HR",19,0,0,0,0
"475",2014,"HR",0,0,0,5,0
"476",2015,"HR",34,0,0,2,0
"477",2016,"HR",0,0,0,0,0
"478",2017,"HR",20,0,57.02769,0,61.66667
"479",2018,"HR",25,0,0,2,0
"480",2019,"HR",26,0,0,0,0
"481",2020,"HR",0,0,0,0,0
"482",1981,"HU",0,0,0,0,0
"483",1982,"HU",0,0,0,0,0
"484",1983,"HU",0,0,0,0,0
"485",1984,"HU",0,0,0,0,0
"486",1985,"HU",0,113,0,0,41.07702
"487",1986,"HU",0,0,0,0,0
"488",1987,"HU",0,0,0,0,0
"489",1988,"HU",0,0,0,0,0
"490",1989,"HU",0,0,0,0,0
"491",1990,"HU",0,0,60.0871,0,0
"492",1991,"HU",0,0,0,0,0
"493",1992,"HU",0,0,132.50423,0,137.42502
"494",1993,"HU",0,46,132.66117,0,43.26108
"495",1994,"HU",0,0,0,0,0
"496",1995,"HU",0,0,0,0,0
"497",1996,"HU",0,25,0,0,0
"498",1997,"HU",0,0,0,6,0
"499",1998,"HU",0,0,0,0,0
"500",1999,"HU",0,0,0,0,0
"501",2000,"HU",0,0,0,6,144.41875
"502",2001,"HU",0,0,0,0,0
"503",2002,"HU",0,0,0,2,0
"504",2003,"HU",21,24,287.88755,0,133.03631
"505",2004,"HU",0,0,0,2,0
"506",2005,"HU",0,0,0,2,0
"507",2006,"HU",0,0,0,21,0
"508",2007,"HU",0,0,62.33333,0,48.2266
"509",2008,"HU",0,0,0,0,0
"510",2009,"HU",0,0,122.0236,0,0
"511",2010,"HU",0,0,0,2,0
"512",2011,"HU",0,0,0,0,89.33178
"513",2012,"HU",73,0,271.88558,0,91.9199
"514",2013,"HU",19,0,0,0,0
"515",2014,"HU",0,0,0,9,0
"516",2015,"HU",92,0,0,0,0
"517",2016,"HU",0,0,0,0,0
"518",2017,"HU",17,0,0,0,0
"519",2018,"HU",0,0,0,0,0
"520",2019,"HU",43,0,117.05201,0,0
"521",2020,"HU",0,0,0,0,0
"522",1981,"IE",0,0,0,0,0
"523",1982,"IE",0,0,0,0,0
"524",1983,"IE",17,0,0,0,0
"525",1984,"IE",0,0,68.14383,0,0
"526",1985,"IE",0,24,0,0,0
"527",1986,"IE",0,0,0,0,42.05709
"528",1987,"IE",0,21,0,0,0
"529",1988,"IE",0,0,0,0,0
"530",1989,"IE",0,0,0,0,0
"531",1990,"IE",0,0,0,0,0
"532",1991,"IE",0,0,0,0,0
"533",1992,"IE",0,0,0,0,40.40192
"534",1993,"IE",0,0,0,0,45.1908
"535",1994,"IE",0,0,0,0,0
"536",1995,"IE",23,0,74.52435,0,0
"537",1996,"IE",0,0,0,0,0
"538",1997,"IE",0,0,0,0,0
"539",1998,"IE",0,0,0,0,0
"540",1999,"IE",0,0,0,0,0
"541",2000,"IE",0,0,0,0,57.43908
"542",2001,"IE",0,0,0,0,0
"543",2002,"IE",0,0,0,10,0
"544",2003,"IE",0,0,0,0,42.92797
"545",2004,"IE",0,0,0,0,0
"546",2005,"IE",0,0,0,0,0
"547",2006,"IE",0,0,0,0,0
"548",2007,"IE",0,0,0,0,0
"549",2008,"IE",0,0,0,0,0
"550",2009,"IE",0,0,0,10,0
"551",2010,"IE",0,47,0,0,0
"552",2011,"IE",0,0,0,2,0
"553",2012,"IE",0,0,0,0,0
"554",2013,"IE",0,0,0,0,0
"555",2014,"IE",0,0,0,0,0
"556",2015,"IE",0,0,0,0,0
"557",2016,"IE",0,0,0,0,0
"558",2017,"IE",0,0,0,0,0
"559",2018,"IE",23,0,0,0,0
"560",2019,"IE",0,0,0,0,0
"561",2020,"IE",0,0,0,0,0
"562",1981,"IT",0,73,0,0,0
"563",1982,"IT",0,0,0,0,0
"564",1983,"IT",0,0,0,0,0
"565",1984,"IT",0,0,0,0,0
"566",1985,"IT",0,78,0,0,40.75712
"567",1986,"IT",0,0,0,0,0
"568",1987,"IT",18,0,0,0,0
"569",1988,"IT",0,0,0,0,0
"570",1989,"IT",0,0,0,0,0
"571",1990,"IT",0,0,0,0,0
"572",1991,"IT",0,91,0,0,0
"573",1992,"IT",0,0,0,0,0
"574",1993,"IT",0,0,0,0,39.65332
"575",1994,"IT",0,0,0,3,0
"576",1995,"IT",0,0,0,0,58.05928
"577",1996,"IT",0,0,0,8,0
"578",1997,"IT",0,0,122.04883,0,0
"579",1998,"IT",44,0,0,0,0
"580",1999,"IT",38,0,68.12438,0,39.65299
"581",2000,"IT",0,0,0,23,0
"582",2001,"IT",0,0,0,0,98.40897
"583",2002,"IT",0,0,0,30,0
"584",2003,"IT",195,22,250.11904,15,154.99453
"585",2004,"IT",0,0,0,0,0
"586",2005,"IT",0,22,0,0,0
"587",2006,"IT",0,0,0,0,0
"588",2007,"IT",43,0,0,0,47.64085
"589",2008,"IT",0,0,0,4,0
"590",2009,"IT",0,0,0,4,0
"591",2010,"IT",0,0,0,0,0
"592",2011,"IT",0,0,0,9,0
"593",2012,"IT",120,68,0,7,49.25385
"594",2013,"IT",0,0,0,2,0
"595",2014,"IT",0,0,0,32,0
"596",2015,"IT",157,0,0,10,0
"597",2016,"IT",0,0,0,2,0
"598",2017,"IT",158,0,158.32231,4,90.13729
"599",2018,"IT",67,0,0,0,41.32192
"600",2019,"IT",123,0,0,0,0
"601",2020,"IT",19,0,0,4,0
"602",0,"LI",0,0,0,0,0
"603",1981,"LT",0,0,0,0,0
"604",1982,"LT",0,0,0,0,0
"605",1983,"LT",0,0,0,0,0
"606",1984,"LT",0,0,0,0,0
"607",1985,"LT",0,34,0,0,46.07276
"608",1986,"LT",0,0,0,0,0
"609",1987,"LT",0,0,0,0,0
"610",1988,"LT",0,0,0,0,0
"611",1989,"LT",0,0,0,0,0
"612",1990,"LT",0,0,0,0,0
"613",1991,"LT",0,0,0,0,0
"614",1992,"LT",0,0,0,0,0
"615",1993,"LT",0,0,0,0,0
"616",1994,"LT",0,0,0,0,0
"617",1995,"LT",0,0,0,0,0
"618",1996,"LT",0,0,0,0,0
"619",1997,"LT",0,0,0,0,0
"620",1998,"LT",0,29,0,0,0
"621",1999,"LT",0,0,0,0,0
"622",2000,"LT",0,0,0,0,0
"623",2001,"LT",0,0,0,0,0
"624",2002,"LT",0,0,0,0,0
"625",2003,"LT",0,0,62,0,48.94138
"626",2004,"LT",0,0,0,0,0
"627",2005,"LT",0,0,0,3,0
"628",2006,"LT",0,0,0,0,0
"629",2007,"LT",0,0,0,0,41.71448
"630",2008,"LT",0,0,0,0,0
"631",2009,"LT",0,0,0,0,0
"632",2010,"LT",19,26,0,2,0
"633",2011,"LT",0,0,0,0,0
"634",2012,"LT",0,23,0,0,42.53
"635",2013,"LT",0,0,0,0,0
"636",2014,"LT",17,0,0,0,0
"637",2015,"LT",0,0,0,0,0
"638",2016,"LT",0,0,0,0,0
"639",2017,"LT",0,0,0,0,52.6
"640",2018,"LT",22,0,0,0,0
"641",2019,"LT",22,0,0,0,0
"642",2020,"LT",0,0,0,0,0
"643",1981,"LU",0,0,0,0,0
"644",1982,"LU",0,0,0,0,0
"645",1983,"LU",0,0,0,0,0
"646",1984,"LU",0,0,0,0,0
"647",1985,"LU",0,34,0,0,0
"648",1986,"LU",0,0,0,0,0
"649",1987,"LU",0,0,0,0,0
"650",1988,"LU",0,0,0,0,0
"651",1989,"LU",0,0,0,0,0
"652",1990,"LU",0,0,0,0,0
"653",1991,"LU",0,0,0,0,0
"654",1992,"LU",0,0,74.67034,0,55.90137
"655",1993,"LU",0,0,0,0,0
"656",1994,"LU",0,0,0,0,40.5469
"657",1995,"LU",0,0,0,0,0
"658",1996,"LU",0,0,0,0,0
"659",1997,"LU",0,0,0,0,0
"660",1998,"LU",0,0,0,0,0
"661",1999,"LU",0,0,0,0,0
