country;crop;crop_id;type;Scarecity;activity;pb;r.squared;zero_counter
AT;C1500;Maize;floods;0.2;AT_p018;0.617623910261549;0.171658705927156;0.117647058823529
AT;C1500;Maize;floods;0.2;AT_p019;0.429067275807052;0.218519702765477;0.147058823529412
AT;C1500;Maize;floods;0.2;AT_p020;0.713419665056524;0.148348371021114;0.205882352941176
AT;C1500;Maize;floods;0.2;AT_p021;0.975963284270767;0.05696186307917;0.0882352941176471
AT;C1500;Maize;floods;0.2;AT_p023;0.998597157512789;0.0230864137843231;0.0882352941176471
AT;C1500;Maize;floods;0.2;AT_p024;0.580799770032718;0.180532826978503;0.0588235294117647
AT;C1500;Maize;floods;0.2;AT_p030;0.701023263750716;0.151416949719759;0.147058823529412
AT;C1500;Maize;floods;0.2;AT_p031;0.953800098818732;0.0713947799505176;0.147058823529412
AT;C1500;Maize;floods;0.2;AT_p032;0.225989489190007;0.281770991401357;0.0588235294117647
AT;C1500;Maize;floods;0.2;AT_p033;0.702161359661611;0.151136211529037;0.0588235294117647
AT;C1500;Maize;floods;0.2;AT_p040;0.429758125549375;0.218336795346856;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p043;0.760895858413778;0.136312709196349;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p044;0.118674297983715;0.333189930357227;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p048;0.142487968598096;0.319454338334384;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p055;0.989011155610089;0.0439749753385335;0.176470588235294
AT;C1500;Maize;floods;0.2;AT_p059;0.0166967057968954;0.453613096916505;0.176470588235294
AT;C1500;Maize;floods;0.2;AT_p061;0.964553591554121;0.0650609827333219;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p062;0.563373057506454;0.184750193410368;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p065;0.512674677533502;0.197166048400434;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p066;0.993460029758411;0.0372313148340525;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p067;0.736682900211279;0.142515485118651;0.205882352941176
AT;C1500;Maize;floods;0.2;AT_p069;0.943045765447112;0.0769461571933021;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p070;0.963790563368422;0.0655439406119465;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p079;0.0407522301989836;0.403807117335962;0.0294117647058824
AT;C1500;Maize;floods;0.2;AT_p080;0.84678129840823;0.112469117841697;0.0588235294117647
AT;C1500;Maize;floods;0.2;AT_p081;0.745274458419098;0.140331867018087;0.0588235294117647
AT;C1500;Maize;floods;0.2;AT_p082;0.485468197264413;0.203965054359082;0.5
AT;C1500;Maize;floods;0.2;AT_p083;0.182410986427308;0.299875995784516;0.205882352941176
