"","year","country","heatwave","coldwave","drought","flood","firerisk"
"275",2015,"DK",4,0,6.256098,0,7.313131
"276",2016,"DK",13,12,19.520147,0,15.464646
"277",2017,"DK",0,0,0,0,1.775
"278",2018,"DK",32,7,59.074818,0,50.656566
"279",2019,"DK",15,5,18.396584,0,6.969697
"280",2020,"DK",17,0,42.372263,0,7.329897
"281",1981,"EE",0,7,6,0,2.1875
"282",1982,"EE",3,11,9.084507,0,14.745074
"283",1983,"EE",0,0,17.662379,0,16.604988
"284",1984,"EE",5,3,11.564663,0,3.990764
"285",1985,"EE",0,31,15.38965,0,7.650862
"286",1986,"EE",3,19,9.402647,0,16.847599
"287",1987,"EE",0,21,7,0,10.4076355
"288",1988,"EE",16,7,7.508475,0,9.050493
"289",1989,"EE",3,7,9.985882,0,12.45197
"290",1990,"EE",0,6,57.624242,0,15.798953
"291",1991,"EE",5,0,5,0,6.10314
"292",1992,"EE",6,14,54.212121,0,41.68319
"293",1993,"EE",0,23,12.251592,0,8.530172
"294",1994,"EE",10,11,22.684848,0,23.991995
"295",1995,"EE",10,11,8.962594,0,22.093288
"296",1996,"EE",4,12,52.213636,0,29.292796
"297",1997,"EE",17,9,22.466667,0,30.693658
"298",1998,"EE",3,24,0,0,8.84883
"299",1999,"EE",13,6,43.136364,0,44.562192
"300",2000,"EE",0,0,12.255418,0,24.426724
"301",2001,"EE",4,12,0,0,11.483374
"302",2002,"EE",15,33,116.1,0,58.178264
"303",2003,"EE",13,15,29.730539,0,15.810961
"304",2004,"EE",4,4,21.842217,0,4.189655
"305",2005,"EE",0,4,17.574871,0,33.833128
"306",2006,"EE",11,13,78.080303,0,50.95443
"307",2007,"EE",9,11,24.556061,0,14.810653
"308",2008,"EE",0,0,18.19697,0,13.911638
"309",2009,"EE",3,8,12.848392,0,5.463978
"310",2010,"EE",27,26,7.762431,0,13.611761
"311",2011,"EE",20,13,16.43569,0,11.008929
"312",2012,"EE",3,22,0,0,1.195652
"313",2013,"EE",14,8,33.748851,0,17.678571
"314",2014,"EE",19,11,18.467391,0,15.6875
