"","country","crop","crop_id","type","Scarecity","activity","pb","r.squared","zero_counter"
"154","AT","I1120","Sunflower","heat waves","0.9","AT_p005","0.516526684740847","0.19621241862919","0.0294117647058824"
"155","AT","I1120","Sunflower","heat waves","0.9","AT_p006","0.554844289593704","0.186821497235802","0.0294117647058824"
"156","AT","I1120","Sunflower","heat waves","0.9","AT_p009","0.839802947270254","0.114562348621492","0.0294117647058824"
"157","AT","I1120","Sunflower","heat waves","0.9","AT_p010","0.199142574030911","0.292597426062552","0.0588235294117647"
"158","AT","I1120","Sunflower","heat waves","0.9","AT_p016","0.0349786396548696","0.412831569337005","0.0294117647058824"
"159","AT","I1120","Sunflower","heat waves","0.9","AT_p018","0.466878428234457","0.208685204216202","0.117647058823529"
"160","AT","I1120","Sunflower","heat waves","0.9","AT_p019","0.743448370101167","0.140797473852615","0.147058823529412"
"161","AT","I1120","Sunflower","heat waves","0.9","AT_p021","0.977623508469117","0.0556039793685171","0.0882352941176471"
"162","AT","I1120","Sunflower","heat waves","0.9","AT_p023","0.994559874388525","0.0351230739487272","0.0882352941176471"
"163","AT","I1120","Sunflower","heat waves","0.9","AT_p024","0.558628416903474","0.185901800294719","0.0588235294117647"
"164","AT","I1120","Sunflower","heat waves","0.9","AT_p030","0.0764141284712635","0.364054444221584","0.147058823529412"
"165","AT","I1120","Sunflower","heat waves","0.9","AT_p031","0.975491240660573","0.0573375961225058","0.147058823529412"
"166","AT","I1120","Sunflower","heat waves","0.9","AT_p032","0.0890134221000338","0.353674534101715","0.0588235294117647"
"167","AT","I1120","Sunflower","heat waves","0.9","AT_p033","0.598604791808211","0.17623840713729","0.0588235294117647"
"168","AT","I1120","Sunflower","heat waves","0.9","AT_p040","0.465459629662486","0.209048280524277","0.0294117647058824"
"169","AT","I1120","Sunflower","heat waves","0.9","AT_p043","0.907063091995695","0.0922716424376799","0.0294117647058824"
"170","AT","I1120","Sunflower","heat waves","0.9","AT_p044","0.173043112341852","0.304163171193146","0.0294117647058824"
"171","AT","I1120","Sunflower","heat waves","0.9","AT_p048","0.14983586331731","0.315569648821162","0.0294117647058824"
"172","AT","I1120","Sunflower","heat waves","0.9","AT_p055","0.0132016062389249","0.46567425322211","0.176470588235294"
"173","AT","I1120","Sunflower","heat waves","0.9","AT_p059","0.901496468297753","0.0943513952087349","0.176470588235294"
"174","AT","I1120","Sunflower","heat waves","0.9","AT_p061","0.241676180518238","0.275849800114785","0.0294117647058824"
"175","AT","I1120","Sunflower","heat waves","0.9","AT_p062","0.955332988105286","0.0705471551629656","0.0294117647058824"
"176","AT","I1120","Sunflower","heat waves","0.9","AT_p065","0.258543503794362","0.269763442100296","0.0294117647058824"
"177","AT","I1120","Sunflower","heat waves","0.9","AT_p066","0.961218595547017","0.0671300695285836","0.0294117647058824"
"178","AT","I1120","Sunflower","heat waves","0.9","AT_p069","0.962350782495532","0.0664395306890478","0.0294117647058824"
"179","AT","I1120","Sunflower","heat waves","0.9","AT_p070","0.907131401518968","0.0922457505477883","0.0294117647058824"
"180","AT","I1120","Sunflower","heat waves","0.9","AT_p079","0.335966309054044","0.24466096668708","0.0294117647058824"
"181","AT","I1120","Sunflower","heat waves","0.9","AT_p080","0.942378647747507","0.0772707847415963","0.0588235294117647"
